Pais;Marca;Modelo;Precio;Kilometros;Automatico/Manual;Fabricacion;Combustible;Potencia
I;hyundai;kona;14000.0;64000;Manual;jun-18;Gasolina;88 kW (120 CV)
NL;peugeot;108;6350.0;145081;Manual;nov-16;Gasolina;51 kW (69 CV)
NL;land rover;range rover;149950.0;37732;Automatico;mar-23;Electro/Gasolina;375 kW (510 CV)
NL;kia;picanto;18495.0;10;Manual;ene-24;Gasolina;46 kW (63 CV)
D;ford;s-max;;122650;Automatico;nov-17;Diesel;132 kW (179 CV)
NL;mercedes-benz;c 180;24995.0;79666;Automatico;oct-18;Gasolina;115 kW (156 CV)
A;seat;ateca;28980.0;618;Manual;jul-24;Diesel;85 kW (116 CV)
B;ford;s-max;20800.0;141000;Manual;sep-17;Diesel;132 kW (179 CV)
I;renault;arkana;27900.0;error;Automatico;jun-23;Electro/Gasolina;105 kW (143 CV)
B;hyundai;kona;14990.0;55400;Manual;mar-18;Gasolina;88 kW (120 CV)
D;peugeot;2008;23790.0;error;Manual;nov-24;Gasolina;74 kW (101 CV)
NL;volvo;xc40;44900.0;4993;Automatico;dic-23;Electrico;185 kW (252 CV)
B;dacia;sandero;13900.0;52175;Manual;feb-21;Gasolina;67 kW (91 CV)
E;citroen;c-zero;4500.0;90000;Automatico;oct-12;Electrico;47 kW (64 CV)
A;mercedes-benz;cla 180;;9190;Automatico;oct-23;Gasolina;100 kW (136 CV)
A;bmw;116;2990.0;;Manual;oct-10;Gasolina;90 kW (122 CV)
D;skoda;superb;22491.0;77840;Automatico;sep-20;Electro/Gasolina;160 kW (218 CV)
D;honda;cr-v;27990.0;41000;Automatico;jun-19;Gasolina;142 kW (193 CV)
D;fiat;500c;7800.0;83100;Manual;feb-18;Gasolina;51 kW (69 CV)
D;smart;fortwo;18670.0;18500;Automatico;oct-19;Gasolina;66 kW (90 CV)
D;hyundai;santa fe;49975.0;15;Automatico;ago-23;Electro/Gasolina;195 kW (265 CV)
NL;peugeot;208;11450.0;192403;Manual;ene-21;Diesel;75 kW (102 CV)
A;skoda;enyaq;33590.0;;Automatico;may-21;Electrico;150 kW (204 CV)
A;seat;leon;22950.0;49565;Automatico;mar-22;Diesel;110 kW (150 CV)
NL;mini;cooper;18440.0;75955;Manual;jun-18;Gasolina;100 kW (136 CV)
NL;volvo;xc60;37950.0;145017;Automatico;dic-18;Gasolina;228 kW (310 CV)
NL;ford;ka/ka+;4650.0;130396;Manual;feb-10;Gasolina;51 kW (69 CV)
F;maserati;ghibli;29990.0;107000;Automatico;feb-14;Diesel;202 kW (275 CV)
I;volvo;xc90;55000.0;45000;Semiautomatico;jun-22;Electro/Diesel;173 kW (235 CV)
A;lamborghini;huracan;359900.0;8500;Automatico;jun-22;Gasolina;449 kW (610 CV)
D;volkswagen;tiguan;30980.0;56490;Automatico;ago-21;Diesel;110 kW (150 CV)
E;skoda;superb;53770.0;error;Automatico;0;Diesel;142 kW (193 CV)
F;ferrari;488;209900.0;30500;Automatico;nov-15;Gasolina;494 kW (672 CV)
B;fiat;tipo;11500.0;79659;Manual;jun-19;Diesel;66 kW (90 CV)
B;bmw;420;;122000;Automatico;ene-18;Gasolina;135 kW (184 CV)
I;porsche;cayenne;34900.0;120000;Automatico;ene-15;Diesel;184 kW (250 CV)
D;mini;cooper s cabrio;12000.0;86000;Manual;mar-11;Gasolina;135 kW (184 CV)
I;mitsubishi;asx;3500.0;260000;Manual;ago-10;Diesel;110 kW (150 CV)
I;kia;sportage;14950.0;116500;Automatico;jun-16;Diesel;136 kW (185 CV)
D;porsche;cayman;75990.0;51100;Manual;jun-20;Gasolina;294 kW (400 CV)
D;subaru;impreza;8690.0;140000;Automatico;ene-14;Gasolina;84 kW (114 CV)
I;porsche;cayenne;153900.0;0;Automatico;0;Electro/Gasolina;382 kW (519 CV)
D;ford;fiesta;7790.0;69500;Manual;may-16;Gasolina;74 kW (101 CV)
NL;fiat;500c;9940.0;93531;Automatico;jun-14;Gasolina;59 kW (80 CV)
B;audi;a1;26575.0;12000;Automatico;ene-24;Gasolina;81 kW (110 CV)
A;volkswagen;tiguan;18990.0;149000;Manual;oct-16;Diesel;85 kW (116 CV)
B;volkswagen;tiguan;12000.0;146000;Manual;may-14;Gasolina;90 kW (122 CV)
D;volvo;v40 cross country;4000.0;248000;Manual;oct-13;Diesel;84 kW (114 CV)
I;citroen;c3;5499.0;173727;Manual;mar-11;Diesel;50 kW (68 CV)
NL;hyundai;i10;3750.0;121374;Manual;jul-09;Gasolina;49 kW (67 CV)
NL;renault;master;46767.0;10;Manual;nov-24;Diesel;125 kW (170 CV)
I;ferrari;purosangue;780000.0;250;Automatico;jun-24;Gasolina;528 kW (718 CV)
F;kia;picanto;;20540;Semiautomatico;ago-21;Gasolina;62 kW (84 CV)
NL;peugeot;308;;error;Automatico;abr-23;Gasolina;96 kW (131 CV)
A;bmw;m4;145600.0;;Automatico;0;Gasolina;375 kW (510 CV)
D;jeep;grand cherokee;29999.0;74500;Automatico;ago-18;Diesel;184 kW (250 CV)
D;bmw;x5;3500.0;270000;Automatico;abr-04;Diesel;135 kW (184 CV)
D;mini;one cabrio;8900.0;97800;Manual;mar-11;Gasolina;72 kW (98 CV)
NL;mitsubishi;space star;3000.0;208500;Manual;abr-14;Gasolina;52 kW (71 CV)
NL;chevrolet;matiz;1750.0;175000;Manual;sep-08;Gasolina;38 kW (52 CV)
B;mercedes-benz;cla 180;19990.0;16392;Manual;ene-18;Gasolina;90 kW (122 CV)
D;hyundai;tucson;28480.0;error;Manual;dic-23;Gasolina;110 kW (150 CV)
NL;mercedes-benz;a 220;29950.0;110232;Automatico;ago-19;Gasolina;140 kW (190 CV)
NL;toyota;yaris;;26246;Automatico;mar-24;Electro/Gasolina;85 kW (116 CV)
I;nissan;juke;16900.0;48230;Manual;feb-22;Gasolina;84 kW (114 CV)
E;peugeot;508;11490.0;119000;Manual;jun-17;Diesel;110 kW (150 CV)
B;opel;mokka;6750.0;129275;Manual;oct-13;Diesel;96 kW (131 CV)
A;mercedes-benz;e 420;5990.0;299000;Automatico;jun-96;Gasolina;205 kW (279 CV)
D;porsche;panamera;87950.0;41679;Automatico;oct-22;Electro/Gasolina;340 kW (462 CV)
D;bentley;bentayga;244211.0;7350;Automatico;abr-24;Electro/Gasolina;340 kW (462 CV)
I;honda;civic;5499.0;299089;Manual;ene-13;Diesel;88 kW (120 CV)
B;audi;a3;18490.0;85904;Automatico;dic-18;Diesel;85 kW (116 CV)
